Online boarding,Delay Ratio,Inflight wifi service,Class,Type of Travel,Inflight entertainment,Flight Distance,Seat comfort,Leg room service,On-board service,Cleanliness,Ease of Online booking,satisfaction
5,0.000751597143930853,3,0,0,2,2660.0,5,2,2,4,3,1
4,0.0,5,0,0,4,491.0,4,2,2,4,5,1
4,0.03009147809340395,3,0,0,3,2076.0,4,5,4,4,3,1
5,0.00865426222414539,4,0,0,4,2310.0,4,4,4,5,4,1
5,0.011661807580174927,1,0,0,5,685.0,5,5,5,5,1,1
4,0.0,5,0,0,5,760.0,4,5,5,5,5,1
5,0.0,3,1,1,5,528.0,2,3,5,2,3,0
2,0.0,2,1,0,5,109.0,5,1,4,5,2,0
3,0.006631299734748011,3,2,0,3,753.0,3,3,3,3,4,0
5,0.0,2,0,0,4,590.0,5,4,4,4,2,1
5,0.0,3,0,0,4,2227.0,5,4,4,4,3,1
4,0.049079754601226995,4,0,0,3,488.0,3,2,4,3,4,0
4,0.0,3,0,0,5,2079.0,5,4,5,4,3,1
4,0.0,5,0,0,4,3702.0,4,5,4,4,5,1
4,0.0,4,1,0,4,227.0,1,4,2,4,4,0
4,0.0,2,0,0,4,3369.0,3,5,3,4,2,1
1,0.008928571428571428,1,1,1,2,447.0,1,5,4,2,1,0
2,0.12278978388998035,2,0,0,1,508.0,2,3,3,2,2,0
5,0.0,4,0,0,5,3072.0,1,5,5,2,5,1
1,0.0,1,2,1,1,147.0,1,2,5,1,1,0
0,0.0,4,1,1,2,236.0,2,1,1,2,0,0
5,0.0033003300330033004,5,0,0,3,1211.0,4,3,4,3,5,1
3,0.0,3,1,1,1,666.0,4,2,4,1,3,0
5,0.0,5,1,0,5,310.0,5,3,5,5,5,1
4,0.0,1,0,0,4,1586.0,4,4,4,3,1,1
0,0.02912621359223301,1,1,1,1,102.0,1,3,2,1,0,0
3,0.0,3,0,0,2,628.0,2,3,3,2,3,0
4,0.005654281098546042,2,0,0,4,2475.0,4,2,3,4,2,1
3,0.0,5,0,1,4,1754.0,1,5,4,3,5,1
2,0.0,2,1,1,4,430.0,4,2,5,4,2,0
3,0.027642636001769128,3,0,0,3,2260.0,3,3,3,2,1,0
3,0.0,3,0,0,5,1428.0,2,5,5,2,3,1
4,0.014129443938012761,2,0,0,4,2193.0,5,5,4,3,2,1
1,0.00749063670411985,1,1,1,1,2402.0,1,4,5,1,1,0
3,0.0,3,1,0,3,370.0,3,4,4,3,3,0
2,0.006032171581769437,2,1,0,1,1491.0,3,2,2,1,2,0
1,0.0,1,1,1,5,1846.0,2,1,5,3,1,0
4,0.0,3,0,0,3,3532.0,4,3,3,1,3,0
4,0.07941653160453808,4,0,0,4,616.0,4,3,3,4,4,1
4,0.09047619047619047,4,1,1,4,419.0,3,2,1,4,4,0
5,0.057057057057057055,4,1,1,3,332.0,4,4,3,4,4,0
5,0.0,3,0,0,5,280.0,5,3,4,5,3,1
4,0.0,2,0,0,2,2940.0,3,2,2,1,4,0
1,0.0,1,1,0,2,341.0,2,2,4,2,1,0
4,0.0,4,0,0,3,1590.0,4,3,3,3,4,1
2,0.0,2,0,0,4,1491.0,4,4,5,4,2,0
3,0.1547029702970297,5,2,0,5,403.0,2,5,5,3,3,1
2,0.023931623931623933,2,0,0,2,584.0,2,5,2,2,4,0
3,0.0,3,1,1,4,533.0,4,4,5,4,3,0
3,0.012104283054003724,3,1,1,1,1073.0,1,2,3,1,3,0
3,0.014943960149439602,3,2,0,3,802.0,2,3,2,3,2,0
2,0.041791044776119404,2,1,0,2,669.0,2,3,2,2,3,0
4,0.0026827632461435278,3,0,0,3,3726.5,3,4,3,2,2,0
3,0.0,3,1,1,2,1065.0,2,5,2,2,3,0
4,0.0,0,0,0,5,3149.0,5,5,5,3,0,1
3,0.029342723004694836,2,0,0,2,2129.0,4,2,2,2,3,0
3,0.09110787172011661,3,0,0,3,685.0,3,5,2,3,3,0
4,0.9191176470588235,1,0,0,4,67.0,5,4,4,5,1,1
1,0.06282722513089005,5,1,0,5,190.0,5,5,5,3,1,1
1,0.1539408866995074,2,1,1,3,405.0,1,4,2,1,4,0
5,0.0,5,1,0,5,216.0,5,2,3,5,4,1
2,0.0,2,1,1,5,429.0,5,2,2,5,2,0
2,0.021021021021021023,4,2,1,5,332.0,5,2,4,5,2,0
2,0.0,2,1,1,5,290.0,5,2,4,5,2,0
4,0.03117359413202934,4,0,0,3,1635.0,3,3,3,3,4,0
4,0.004420587306599305,0,0,0,3,3166.0,4,3,3,3,0,1
5,0.02059266700150678,5,0,0,4,1990.0,4,4,4,3,5,1
2,0.0,2,0,0,4,646.0,4,5,5,4,2,0
4,0.12703252032520326,2,0,0,4,491.0,4,3,4,4,2,1
4,0.01498751040799334,2,1,1,2,1200.0,4,1,2,4,1,0
1,0.0,0,0,0,3,236.0,4,3,3,4,0,1
1,0.0,1,1,0,3,803.0,3,3,4,3,1,0
5,0.022249911000355997,4,0,0,5,2808.0,5,5,5,5,4,1
4,0.0,4,1,0,3,507.0,3,4,4,3,4,0
5,0.0,5,2,0,5,873.0,4,3,2,5,5,1
2,0.026629740093736684,2,0,0,2,2346.0,2,3,1,2,4,0
5,0.0029647198339756895,4,0,0,5,3372.0,5,5,5,3,4,1
3,0.0,3,0,0,3,3159.0,4,3,3,1,4,0
1,0.022653721682847898,2,1,0,1,1235.0,1,5,1,1,1,0
3,0.0011737089201877935,2,0,0,2,1703.0,3,2,2,2,2,0
4,0.03450807635829662,4,1,0,1,1361.0,1,3,4,1,4,1
4,0.0,4,1,1,2,308.0,2,2,4,2,4,0
1,0.011235955056179775,1,0,0,1,2402.0,1,3,4,1,5,0
4,0.003061849357011635,4,0,0,5,3265.0,5,5,5,5,2,1
4,0.0,4,0,0,4,1024.0,4,5,5,4,4,1
4,0.0,1,0,0,5,1700.0,5,5,5,5,1,1
4,0.0,4,1,0,4,1017.0,4,4,3,4,3,0
4,0.0,4,1,1,1,641.0,5,4,1,3,4,0
2,0.006802721088435374,2,0,0,4,1616.0,4,4,4,4,2,0
4,0.005866249511145874,3,0,0,4,2556.0,4,4,2,4,3,1
0,0.0,0,2,1,4,447.0,4,3,4,4,0,1
3,0.0,3,1,1,2,731.0,2,4,1,2,3,0
4,0.0,4,1,1,3,624.0,3,4,4,3,4,0
5,0.0035294117647058825,1,0,0,5,3399.0,4,5,5,5,1,1
4,0.0,1,0,1,1,919.0,4,2,1,4,2,0
3,0.0,2,1,1,5,874.0,5,5,5,5,3,0
4,0.016142384105960264,5,0,0,5,2415.0,5,2,4,5,1,0
3,0.0,1,1,1,3,190.0,4,0,3,4,0,0
4,0.0,4,1,1,2,1024.0,2,4,5,2,4,0
5,0.0,4,0,0,5,590.0,5,5,3,5,4,1
3,0.0024691358024691358,3,1,1,3,404.0,3,3,5,3,3,0
2,0.0,1,1,1,5,1416.0,5,4,2,5,2,0
1,0.08042895442359249,1,1,0,2,372.0,2,5,1,2,1,0
4,0.0,4,1,0,1,192.0,4,4,5,1,4,1
2,0.006858710562414266,2,1,1,5,728.0,5,2,3,5,2,0
5,0.005649717514124294,3,0,0,5,3716.0,4,5,5,3,3,1
5,0.0,4,0,0,4,2372.0,4,4,4,3,3,1
1,0.0,1,1,0,5,1262.0,5,5,3,5,1,0
2,0.01932367149758454,2,1,1,4,1034.0,4,3,1,4,2,0
2,0.0,2,1,0,2,202.0,2,5,3,2,2,0
